Id,Time[ns],1:I²C: Address/Data
528,5471325000.00,Stop
529,5471347500.00,Start
530,5471392500.00,Stop
531,5471415000.00,Start
532,5471457500.00,Stop
533,5471480000.00,Start
534,5471525000.00,Stop
535,5471547500.00,Start
536,5471590000.00,Stop
537,5471612500.00,Start
538,5471655000.00,Stop
539,5471677500.00,Start
540,5471722500.00,Stop
541,5471745000.00,Start
542,5471787500.00,Stop
543,5471810000.00,Start
544,5471855000.00,Stop
545,5471877500.00,Start
546,5471920000.00,Stop
547,5471942500.00,Start
548,5471985000.00,Stop
549,5472007500.00,Start
550,5472052500.00,Stop
551,5472075000.00,Start
552,5472117500.00,Stop
553,5472140000.00,Start
554,5472185000.00,Stop
555,5472207500.00,Start
556,5472250000.00,Stop
557,5472272500.00,Start
558,5472315000.00,Stop
559,5472340000.00,Start
560,5472390000.00,Address write: A0
561,5472627500.00,Write
562,5472665000.00,ACK
563,5472702500.00,Data write: 10
564,5472972500.00,ACK
565,5473007500.00,Start repeat
566,5473052500.00,Address read: A1
567,5473287500.00,Read
568,5473322500.00,ACK
569,5473360000.00,Data read: 00
570,5473560000.00,ACK
571,5473595000.00,Data read: 76
572,5473790000.00,ACK
573,5473825000.00,Data read: 02
574,5474020000.00,ACK
575,5474052500.00,Data read: 51
576,5474247500.00,ACK
577,5474282500.00,Data read: 00
578,5474475000.00,ACK
579,5474510000.00,Data read: 6F
580,5474705000.00,ACK
581,5474737500.00,Data read: 40
582,5474932500.00,ACK
583,5474967500.00,Data read: 00
584,5475162500.00,ACK
585,5475195000.00,Data read: 00
586,5475390000.00,ACK
587,5475422500.00,Data read: 00
588,5475617500.00,ACK
589,5475652500.00,Data read: 2C
590,5475847500.00,ACK
591,5475880000.00,Data read: 38
592,5476075000.00,ACK
593,5476110000.00,Data read: 00
594,5476302500.00,ACK
595,5476337500.00,Data read: 00
596,5476532500.00,ACK
597,5476565000.00,Data read: 00
598,5476760000.00,ACK
599,5476792500.00,Data read: 00
600,5476987500.00,ACK
601,5477022500.00,Data read: 00
602,5477217500.00,ACK
603,5477250000.00,Data read: 00
604,5477445000.00,ACK
605,5477480000.00,Data read: 00
606,5477672500.00,ACK
607,5477707500.00,Data read: 00
608,5477902500.00,ACK
609,5477935000.00,Data read: 00
610,5478130000.00,ACK
611,5478165000.00,Data read: 00
612,5478360000.00,ACK
613,5478392500.00,Data read: 00
614,5478587500.00,ACK
615,5478620000.00,Data read: 00
616,5478815000.00,ACK
617,5478850000.00,Data read: 00
618,5479042500.00,ACK
619,5479077500.00,Data read: 00
620,5479272500.00,ACK
621,5479305000.00,Data read: 00
622,5479500000.00,ACK
623,5479535000.00,Data read: 00
624,5479727500.00,ACK
625,5479762500.00,Data read: 10
626,5479957500.00,ACK
627,5479990000.00,Data read: 00
628,5480185000.00,ACK
629,5480220000.00,Data read: 00
630,5480415000.00,ACK
631,5480447500.00,Data read: 00
632,5480642500.00,ACK
633,5480675000.00,Data read: 00
634,5480870000.00,ACK
635,5480905000.00,Data read: 00
636,5481100000.00,ACK
637,5481132500.00,Data read: 00
638,5481327500.00,ACK
639,5481362500.00,Data read: 00
640,5481557500.00,ACK
641,5481590000.00,Data read: 00
642,5481785000.00,ACK
643,5481820000.00,Data read: 00
644,5482015000.00,ACK
645,5482047500.00,Data read: 00
646,5482242500.00,ACK
647,5482277500.00,Data read: 00
648,5482470000.00,ACK
649,5482505000.00,Data read: 00
650,5482700000.00,ACK
651,5482732500.00,Data read: 00
652,5482927500.00,ACK
653,5482960000.00,Data read: 00
654,5483155000.00,ACK
655,5483190000.00,Data read: 00
656,5483382500.00,ACK
657,5483417500.00,Data read: 00
658,5483612500.00,ACK
659,5483645000.00,Data read: 00
660,5483840000.00,ACK
661,5483875000.00,Data read: EA
662,5484070000.00,ACK
663,5484102500.00,Data read: F0
664,5484297500.00,ACK
665,5484330000.00,Data read: 00
666,5484525000.00,ACK
667,5484560000.00,Data read: FE
668,5484755000.00,ACK
669,5484787500.00,Data read: 00
670,5484982500.00,ACK
671,5485017500.00,Data read: EB
672,5485212500.00,ACK
673,5485245000.00,Data read: 00
674,5485440000.00,ACK
675,5485472500.00,Data read: 08
676,5485667500.00,ACK
677,5485702500.00,Data read: 00
678,5485895000.00,ACK
679,5485930000.00,Data read: 00
680,5486125000.00,ACK
681,5486157500.00,Data read: 00
682,5486352500.00,ACK
683,5486387500.00,Data read: 00
684,5486580000.00,ACK
685,5486615000.00,Data read: 10
686,5486810000.00,ACK
687,5486842500.00,Data read: 54
688,5487037500.00,ACK
689,5487072500.00,Data read: 20
690,5487267500.00,ACK
691,5487300000.00,Data read: 08
692,5487495000.00,ACK
693,5487530000.00,Data read: 0A
694,5487722500.00,ACK
695,5487757500.00,Data read: 2C
696,5487950000.00,ACK
697,5487985000.00,Data read: 90
698,5488180000.00,ACK
699,5488212500.00,Data read: 02
700,5488407500.00,ACK
701,5488442500.00,Data read: 00
702,5488635000.00,ACK
703,5488670000.00,Data read: 00
704,5488865000.00,ACK
705,5488897500.00,Data read: 00
706,5489092500.00,ACK
707,5489127500.00,Data read: 00
708,5489322500.00,ACK
709,5489355000.00,Data read: 00
710,5489550000.00,ACK
711,5489582500.00,Data read: 00
712,5489777500.00,ACK
713,5489812500.00,Data read: 00
714,5490007500.00,ACK
715,5490040000.00,Data read: 00
716,5490235000.00,ACK
717,5490270000.00,Data read: 00
718,5490462500.00,ACK
719,5490497500.00,Data read: 00
720,5490692500.00,ACK
721,5490725000.00,Data read: 03
722,5490920000.00,ACK
723,5490952500.00,Data read: 00
724,5491147500.00,ACK
725,5491182500.00,Data read: 00
726,5491377500.00,ACK
727,5491410000.00,Data read: 00
728,5491605000.00,ACK
729,5491640000.00,Data read: 00
730,5491832500.00,ACK
731,5491867500.00,Data read: 00
732,5492062500.00,ACK
733,5492095000.00,Data read: 00
734,5492290000.00,ACK
735,5492325000.00,Data read: 00
736,5492520000.00,ACK
737,5492552500.00,Data read: 00
738,5492747500.00,ACK
739,5492780000.00,Data read: 00
740,5492975000.00,ACK
741,5493010000.00,Data read: 00
742,5493202500.00,ACK
743,5493237500.00,Data read: 00
744,5493432500.00,ACK
745,5493465000.00,Data read: 00
746,5493660000.00,ACK
747,5493695000.00,Data read: 00
748,5493887500.00,ACK
749,5493922500.00,Data read: 00
750,5494117500.00,ACK
751,5494150000.00,Data read: 00
752,5494345000.00,ACK
753,5494380000.00,Data read: 00
754,5494575000.00,ACK
755,5494607500.00,Data read: 00
756,5494802500.00,ACK
757,5494837500.00,Data read: 00
758,5495030000.00,ACK
759,5495065000.00,Data read: 00
760,5495260000.00,ACK
761,5495292500.00,Data read: 00
762,5495487500.00,ACK
763,5495520000.00,Data read: 00
764,5495715000.00,ACK
765,5495750000.00,Data read: 00
766,5495945000.00,ACK
767,5495977500.00,Data read: 00
768,5496172500.00,ACK
769,5496205000.00,Data read: 00
770,5496400000.00,ACK
771,5496435000.00,Data read: 00
772,5496630000.00,ACK
773,5496662500.00,Data read: 00
774,5496857500.00,ACK
775,5496892500.00,Data read: 00
776,5497085000.00,ACK
777,5497120000.00,Data read: 00
778,5497315000.00,ACK
779,5497347500.00,Data read: 00
780,5497542500.00,ACK
781,5497577500.00,Data read: 00
782,5497772500.00,ACK
783,5497805000.00,Data read: 00
784,5498000000.00,ACK
785,5498032500.00,Data read: 00
786,5498227500.00,ACK
787,5498262500.00,Data read: 00
788,5498455000.00,ACK
789,5498490000.00,Data read: 00
790,5498685000.00,ACK
791,5498717500.00,Data read: 00
792,5498912500.00,ACK
793,5498947500.00,Data read: 00
794,5499142500.00,ACK
795,5499175000.00,Data read: 00
796,5499370000.00,ACK
797,5499402500.00,Data read: 00
798,5499597500.00,ACK
799,5499632500.00,Data read: 00
800,5499827500.00,ACK
801,5499860000.00,Data read: 00
802,5500055000.00,ACK
803,5500090000.00,Data read: 00
804,5500282500.00,ACK
805,5500317500.00,Data read: 00
806,5500512500.00,ACK
807,5500545000.00,Data read: 00
808,5500740000.00,ACK
809,5500772500.00,Data read: 00
810,5500967500.00,ACK
811,5501002500.00,Data read: 00
812,5501197500.00,ACK
813,5501230000.00,Data read: 00
814,5501425000.00,ACK
815,5501457500.00,Data read: 00
816,5501652500.00,ACK
817,5501687500.00,Data read: 00
818,5501887500.00,ACK
819,5501922500.00,Data read: 00
820,5502117500.00,ACK
821,5502150000.00,Data read: 00
822,5502345000.00,ACK
