Id,Time[ns],Parallel: Items
822,712769300.00,00000000
823,712770800.00,10000004
824,712772400.00,00000000
825,712773900.00,10000005
826,712775500.00,00000000
827,712776950.00,10000006
828,712778550.00,00000000
829,712780050.00,10000007
830,712781650.00,00000000
831,712783150.00,10000000
832,712784750.00,00000000
833,712786250.00,10000001
834,712787700.00,00000000
835,712789200.00,10000002
836,712790800.00,00000000
837,712792300.00,10000003
838,712793900.00,00000000
839,712795400.00,10000004
840,712797000.00,00000000
841,712798500.00,10000005
842,712800100.00,00000000
843,712801600.00,10000006
844,712803200.00,00000000
845,712804700.00,10000007
846,712806300.00,00000000
847,712807800.00,10000000
848,712809400.00,00000000
849,712810800.00,10000001
850,712812400.00,00000000
851,712813900.00,10000002
852,712815500.00,00000000
853,712817000.00,10000003
854,712818600.00,00000000
855,712820100.00,10000004
856,712821450.00,00000000
857,712822950.00,10000005
858,712824550.00,00000000
859,712826050.00,10000006
860,712827650.00,00000000
861,712829150.00,10000007
862,712830750.00,00000000
863,712832250.00,10000000
864,712833750.00,00000000
865,712835250.00,10000001
866,712836850.00,00000000
867,712838350.00,10000002
868,712839950.00,00000000
869,712841450.00,10000003
870,712843050.00,00000000
871,712844500.00,10000004
872,712846100.00,00000000
873,712847600.00,10000005
874,712849200.00,00000000
875,712850700.00,10000006
876,712852300.00,00000000
877,712853800.00,10000007
878,712855400.00,00000000
879,712856900.00,10000000
880,712858500.00,00000000
881,712860000.00,10000001
882,712861600.00,00000000
883,712863100.00,10000002
884,712864700.00,00000000
885,712866200.00,10000003
886,712867650.00,00000000
887,712869150.00,10000004
888,712870750.00,00000000
889,712872250.00,10000005
890,712873850.00,00000000
891,712875350.00,10000006
892,712876950.00,00000000
893,712878450.00,10000007
894,712880050.00,00000000
895,712881550.00,10000000
896,712883150.00,00000000
897,712884650.00,10000001
898,712886250.00,00000000
899,712887750.00,10000002
900,712889350.00,00000000
901,712890800.00,10000003
902,712892400.00,00000000
903,712893900.00,10000004
904,712895500.00,00000000
905,712897000.00,10000005
906,712898600.00,00000000
907,712900100.00,10000006
908,712901550.00,00000000
909,712903050.00,10000007
910,712904650.00,00000000
911,712906150.00,10000000
912,712907750.00,00000000
913,712909250.00,10000001
914,712910850.00,00000000
915,712912350.00,10000002
916,712913950.00,00000000
917,712915450.00,10000003
918,712917050.00,00000000
919,712918550.00,10000004
920,712920150.00,00000000
921,712921650.00,10000005
922,712923250.00,00000000
923,712924650.00,10000006
924,712926250.00,00000000
925,712927750.00,10000007
926,712929350.00,00000000
927,712930850.00,10000000
928,712932450.00,00000000
929,712933950.00,10000001
930,712935300.00,00000000
931,712936800.00,10000002
932,712938400.00,00000000
933,712939900.00,10000003
934,712941500.00,00000000
935,712943000.00,10000004
936,712944600.00,00000000
937,712946100.00,10000005
938,712947600.00,00000000
939,712949100.00,10000006
940,712950700.00,00000000
941,712952200.00,10000007
942,712953800.00,00000000
943,712955300.00,10000000
944,712956900.00,00000000
945,712958350.00,10000001
946,712959950.00,00000000
947,712961450.00,10000002
948,712963050.00,00000000
949,712964550.00,10000003
950,712966150.00,00000000
951,712967650.00,10000004
952,712969250.00,00000000
953,712970750.00,10000005
954,712972350.00,00000000
955,712973850.00,10000006
956,712975450.00,00000000
957,712976950.00,10000007
958,712978550.00,00000000
959,712980050.00,10000000
960,712981500.00,00000000
961,712983000.00,10000001
962,712984600.00,00000000
963,712986100.00,10000002
964,712987700.00,00000000
965,712989200.00,10000003
966,712990800.00,00000000
967,712992300.00,10000004
968,712993900.00,00000000
969,712995400.00,10000005
970,712997000.00,00000000
971,712998500.00,10000006
972,713000100.00,00000000
973,713001600.00,10000007
974,713003200.00,00000000
975,713004650.00,10000000
976,713006250.00,00000000
977,713007750.00,10000001
978,713009350.00,00000000
979,713010850.00,10000002
980,713012450.00,00000000
981,713013950.00,10000003
982,713015400.00,00000000
983,713016900.00,10000004
984,713018500.00,00000000
985,713020000.00,10000005
986,713021600.00,00000000
987,713023100.00,10000006
988,713024700.00,00000000
989,713026200.00,10000007
990,713027800.00,00000000
991,713029300.00,10000000
992,713030900.00,00000000
993,713032400.00,10000001
994,713034000.00,00000000
995,713035500.00,10000002
996,713037100.00,00000000
997,713038500.00,10000003
998,713040100.00,00000000
999,713041600.00,10000004
1000,713043200.00,00000000
1001,713044700.00,10000005
1002,713046300.00,00000000
1003,713047800.00,10000006
1004,713049150.00,00000000
1005,713050650.00,10000007
1006,713052250.00,00000000
1007,713053750.00,10000000
1008,713055350.00,00000000
1009,713056850.00,10000001
1010,713058450.00,00000000
1011,713059950.00,10000002
1012,713061450.00,00000000
1013,713062950.00,10000003
1014,713064550.00,00000000
1015,713066050.00,10000004
1016,713067650.00,00000000
1017,713069150.00,10000005
1018,713070750.00,00000000
1019,713072200.00,10000006
1020,713073800.00,00000000
1021,713075300.00,10000007
1022,713076900.00,00000000
1023,713078400.00,10000000
1024,713080000.00,00000000
1025,713081500.00,10000001
1026,713083100.00,00000000
1027,713084600.00,10000002
1028,713086200.00,00000000
1029,713087700.00,10000003
1030,713089300.00,00000000
1031,713090800.00,10000004
1032,713092400.00,00000000
1033,713093900.00,10000005
1034,713095350.00,00000000
1035,713096850.00,10000006
1036,713098450.00,00000000
1037,713099950.00,10000007
1038,713101550.00,00000000
1039,713103050.00,10000000
1040,713104650.00,00000000
1041,713106150.00,10000001
1042,713107750.00,00000000
1043,713109250.00,10000002
1044,713110850.00,00000000
1045,713112350.00,10000003
1046,713113950.00,00000000
1047,713115450.00,10000004
1048,713117050.00,00000000
1049,713118500.00,10000005
1050,713120100.00,00000000
1051,713121600.00,10000006
1052,713123200.00,00000000
1053,713124700.00,10000007
1054,713126300.00,00000000
1055,713127800.00,10000000
1056,713129250.00,00000000
1057,713130750.00,10000001
1058,713132350.00,00000000
1059,713133850.00,10000002
1060,713135450.00,00000000
1061,713136950.00,10000003
1062,713138550.00,00000000
1063,713140050.00,10000004
1064,713141650.00,00000000
1065,713143150.00,10000005
1066,713144750.00,00000000
1067,713146250.00,10000006
1068,713147850.00,00000000
1069,713149350.00,10000007
1070,713150950.00,00000000
1071,713152350.00,10000000
1072,713153950.00,00000000
1073,713155450.00,10000001
1074,713157050.00,00000000
1075,713158550.00,10000002
1076,713160150.00,00000000
1077,713161650.00,10000003
1078,713163000.00,00000000
1079,713164500.00,10000004
1080,713166100.00,00000000
1081,713167600.00,10000005
1082,713169200.00,00000000
1083,713170700.00,10000006
1084,713172300.00,00000000
1085,713173800.00,10000007
1086,713175300.00,00000000
1087,713176800.00,10000000
